"start_date","title","description","status","url","image"
"25 November 2025","Kshema - Interactive mental wellness session","Kshema - Interactive mental wellness session","In Progress","https://spc.rotary.org/project?guid=ABF02ECE-85A7-4052-95F7-A0EAE8B79AB6","./Service Project Center-nov25-pg1_files/1764046206689ZjFkMTQ3NWYtM2RkZS00NWU4LWI4MjktMzEyZDkxYTAyZjIz0.png"
"25 November 2025","Solar Kits distribution to rural entrepreneurs","Solar Kits distribution to rural entrepreneurs","In Progress","https://spc.rotary.org/project?guid=BE94C5B6-2216-4B2D-B153-6A698807ED4E","./Service Project Center-nov25-pg1_files/1764044885490ZjFkMTQ3NWYtM2RkZS00NWU4LWI4MjktMzEyZDkxYTAyZjIz0.jpeg"
"22 August 2025","Stress management for interactors","Stress management for Interactors and to cope with exam stress","Completed","https://spc.rotary.org/project?guid=FF49A31A-B36F-437B-A364-C7859C05A166","./Service Project Center-nov25-pg1_files/1763998644815MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.png"
"15 August 2025","Dolphin conservation awareness","Dolphin conservation awareness Project Dolphin launched on Interact members along with the Eco club","Completed","https://spc.rotary.org/project?guid=2F78BF5C-9B76-4D3E-AB5A-74215F75DEEA","./Service Project Center-nov25-pg1_files/1763980103222MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
"03 July 2025","collection of dry waste by interactors","Collection of dry waste and participated in the Interschool recycling championship 2025 org","Completed","https://spc.rotary.org/project?guid=F65786B3-5ACD-42E4-B8A3-A021FAD3A1ED","./Service Project Center-nov25-pg1_files/1763979443459MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
"12 August 2025","Waste management activity","Upcycling:*Make bags and donate to shops.Creating an awareness among students","Completed","https://spc.rotary.org/project?guid=67C734BD-B40C-454B-A6AA-9489EF049392","./Service Project Center-nov25-pg1_files/1763978952888MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
"18 November 2025","Mental health for Govt school children","Interact club NIITTE school conducted a mental wellness session","Completed","https://spc.rotary.org/project?guid=683B8F7B-41B6-4F64-9164-920D34A1C1D5","./Service Project Center-nov25-pg1_files/1763978067109MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
"23 November 2025","Care giver wellness Basic program","Care Giver wellness Certificate(Basic) program D3192 /Alliance for Health Geneva","Completed","https://spc.rotary.org/project?guid=61C59D05-51B1-4726-8B07-8B816599E110","./Service Project Center-nov25-pg1_files/1763975474220MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
"01 July 2025","Play equipment for Govt School Kamakshipura","Play equipment for Govt School Kamakshipura, delivered courtesy People and People","Completed","https://spc.rotary.org/project?guid=77D3BEC4-AE85-4EA8-878B-4D16D54B7B90","./Service Project Center-nov25-pg1_files/1763803947907ZjFkMTQ3NWYtM2RkZS00NWU4LWI4MjktMzEyZDkxYTAyZjIz0.jpeg"
"14 November 2025","Talk on Tech and Engg Management","Talk on Technology and Engineering Management at the Leadership Summit 2025, hosted at Symbiosis","Completed","https://spc.rotary.org/project?guid=B5EF7D2A-AF4E-4CA8-B390-5F853F1D1A36","./Service Project Center-nov25-pg1_files/1763803290004ZjFkMTQ3NWYtM2RkZS00NWU4LWI4MjktMzEyZDkxYTAyZjIz0.jpeg"
"14 November 2025","Children's day at Govt Anganwadi","Sharing play/learn materials to Govt school children at Anganwadi along with refreshments","Completed","https://spc.rotary.org/project?guid=458AA27E-5746-4207-B52D-C93870C2205D","./Service Project Center-nov25-pg2_files/1763128488831MWJjYTM3MmQtN2Y1NS00MDczLTg1OTMtYzIzOGM1NzcyODc00.jpg"
